sense_id,word_id,word,definition,current_pol,current_speech_pane,proposed_part_of_speech,proposed_domain,proposed_axis_values,proposed_example,confidence,conflict_reason,owner_user_id,owner_user_name,human_part_of_speech,human_domain,human_axis_values,human_example,human_note
4097,13592,ترتەمانی,میزەڵدان,ئەندامی جەستە,ناو,ناو,زانستیی پزیشکی › ئەندامی جەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4098,13593,تڕتەمیس,شەو کوێر,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4099,13593,تڕتەمیس,کەسێ کە بە شەو نابینێ,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4100,13594,تڕچماق,زەلام و زەبەلاحی ناقوڵا,کەس | سیفەت,ئاوەڵناو,هاوەڵناو,ناو › کەس,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4101,13595,ترحێو,وشەی گاڵتەپێکردن: ( ترحێو لەو کارەی کردت!),سیفەت | دەستەواژە,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision ; پۆل «دەستەواژە» has no home among the deck's ten (see unmapped.csv)",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4102,13596,ترخە,تێکچوونی دڵ و هەناو لەبەر زۆر خۆری,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4103,13596,ترخە,ئینتێلا,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4104,13597,ترخێنە,شەلەمین,خواردن,ناو,ناو,کولتووری › خواردن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4105,13597,ترخێنە,چێشتی شێلم و دان,خواردن,ناو,ناو,کولتووری › خواردن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4106,13597,ترخێنە,گوی شلی منداڵ,خواردن,ناو,ناو,کولتووری › خواردن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4108,13598,تڕدان,تڕ بەردان، دەنگ لە قون هاتن,ئەنجامدانی کارێک,کار | چاوگ,,,,,LOW,"word carries several parts of speech (کار / چاوگ); a sense may only have one ; پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4110,13599,تڕزل,بریتی لە لە پیاوی بە فیز و لوت بڵند,کەس,ناو,ناو,ناو › کەس,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4111,13600,تڕزلی,فیز و بایی هەوایی,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4112,13601,ترس,ئەنیشە,نەخۆشی | هەست,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,پۆل «هەست» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4113,13601,ترس,باک,نەخۆشی | هەست,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,پۆل «هەست» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4114,13601,ترس,نەخۆشی فێداری,نەخۆشی | هەست,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,پۆل «هەست» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4142,13602,ترسان,نەوێران,بارودۆخی جەستەیی | هەست,کار,کار,زانستیی پزیشکی › بارودۆخی جەستەیی,,,HIGH,پۆل «هەست» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4117,13603,ترساندن,ترس وەبەرنان,ئەنجامدانی کارێک,چاوگ,چاوگ,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «چاوگ» — they disagree",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4118,13604,ترسانن,ترساندن,ئەنجامدانی کارێک,چاوگ,چاوگ,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «چاوگ» — they disagree",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4119,13605,ترساو,تووشی ترس و خۆف هاتگ,سیفەت | بارودۆخی جەستەیی | هەست,ئاوەڵناو,هاوەڵناو,زانستیی پزیشکی › بارودۆخی جەستەیی,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision ; پۆل «هەست» has no home among the deck's ten (see unmapped.csv)",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4120,13606,ترس شکان,نەمانی ترس,بارودۆخی جەستەیی,چاوگ,چاوگ,زانستیی پزیشکی › بارودۆخی جەستەیی,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4121,13607,ترس لێ شکان,وە غیرەت کەوتن بەرامبەر جێ مەترسی,بارودۆخی جەستەیی | هەست,چاوگ,چاوگ,زانستیی پزیشکی › بارودۆخی جەستەیی,,,HIGH,پۆل «هەست» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4122,13608,ترس لێ نیشتن,تووشی ترس هاتن,بارودۆخی جەستەیی,چاوگ,چاوگ,زانستیی پزیشکی › بارودۆخی جەستەیی,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4123,13609,ترسناک,بە ترس,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4124,13609,ترسناک,بە مەترسی,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4125,13609,ترسناک,بە خۆف,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4126,13610,ترس نانەبەر,ترساندن,ئەنجامدانی کارێک,کار,کار,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4127,13611,ترسنۆک,خوێڕی,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4128,13612,ترس و لەرز,ترسانی زۆر,بارودۆخی جەستەیی,ناو,ناو,زانستیی پزیشکی › بارودۆخی جەستەیی,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4129,13613,ترسۆنەک,بێ ورە,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4130,13613,ترسۆنەک,نەوێر,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4131,13613,ترسۆنەک,ترسەنۆک,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4132,13613,ترسۆنەک,بێ زات,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4134,13614,ترسە ترس,وڵاتی بە ئاأاوەو پڕ لە مەترسی,شوێن | سیفەت,ئاوەڵناو,هاوەڵناو,ناو › شوێن,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4135,13614,ترسە ترس,تێکەڵاوی خۆف و ترس: ( بە ترسە ترس هات),شوێن | سیفەت,ئاوەڵناو,هاوەڵناو,ناو › شوێن,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4136,13614,ترسە ترس,منطقە نا ارام و برخطر,شوێن | سیفەت,ئاوەڵناو,هاوەڵناو,ناو › شوێن,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4137,13615,ترسەنۆک,ترسۆنەک,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4138,13616,ترسی,پەتی و ڕوت,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4139,13616,ترسی,بۆ نان دەڵێن: (نانی بترسی تخۆن),سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4143,13617,ترسیان,ترسان,بارودۆخی جەستەیی | هەست,چاوگ,چاوگ,زانستیی پزیشکی › بارودۆخی جەستەیی,,,HIGH,پۆل «هەست» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4144,13617,ترسیان,نەوێران,بارودۆخی جەستەیی | هەست,چاوگ,چاوگ,زانستیی پزیشکی › بارودۆخی جەستەیی,,,HIGH,پۆل «هەست» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4145,13618,ترسین,ترسیان,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4146,13619,ترسێن,ترسێنەر,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4147,13619,ترسێن,زات بەر,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4148,13619,ترسێن,زەندەق بەر,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4150,13620,ترشقە,بروسکەی عاسمان,ڕووداوی سروشتی,ناو,ناو,,,,HIGH,پۆل «ڕووداوی سروشتی» has no home among the deck's ten (see unmapped.csv),96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4151,13621,ترش و شیرن,مێخۆش,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4152,13622,ترش و شیرین,ترش و شیرن,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4153,13623,ترشۆک,گیایەکە ترش لە کێو و دەشت دەڕوێ,ڕووەك,ناو,ناو,ڕووەکناسی › ڕووەك,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4154,13624,ترشۆکە,ترشۆک,ڕووەك,ناو,ناو,ڕووەکناسی › ڕووەك,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4155,13625,دابا,ئەگەر خۆی داهیناباوە,ئەنجامدانی کارێک,,,,,,LOW,"word has no جۆری وشە at all ; پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision",fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4156,13626,دابارا,لەسەرڕا هاتەخوار: (میوە دابارا),,کار,کار,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4157,13627,داباران,بەرەوخوارهەڵڕژان,,چاوگ,چاوگ,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4158,13627,داباران,لەهەمولاوە بۆهاتن: (هەرگوتم ترێ مشتەری داباران),,چاوگ,چاوگ,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4160,13628,داباراندن,هەڵڕژاندن لەسەرەوە بۆخوار,,کار,کار,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4161,13629,دابارانن,داباراندن,,,,,,,LOW,word has no جۆری وشە at all,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4162,13630,دابارین,داباران,,کار,کار,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4163,13631,دابارێن,کەسێ کە بەرەوخوار هەڵدەڕێژێ,,کار,کار,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4165,13632,داباش,لێکوڵینەوە,ئەنجامدانی کارێک,کار,کار,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision",fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4166,13632,داباش,تۆژینەوە,ئەنجامدانی کارێک,کار,کار,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision",fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4168,13633,دابڕ,کەرت,,ناو | ئاوەڵناو,,,,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4169,13633,دابڕ,کەر,,ناو | ئاوەڵناو,,,,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4170,13633,دابڕ,لەت,,ناو | ئاوەڵناو,,,,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4171,13633,دابڕ,لەت,,ناو | ئاوەڵناو,,,,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4172,13633,دابڕ,پارچە: (مەڕەکە دابڕدابڕبو),,ناو | ئاوەڵناو,,,,,LOW,word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4173,13634,دابڕان,لەت بون,,چاوگ,چاوگ,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4174,13634,دابڕان,لێک جیابون,,چاوگ,چاوگ,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4175,13635,دابڕانێ,ملە,,ناو,ناو,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4176,13635,دابڕانێ,کێبەرکێ لە گوریس کێشاندا,,ناو,ناو,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4177,13636,دابڕستن,شاڵاوبردن,,چاوگ,چاوگ,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4178,13637,دابڕسکان,پەلاماربردن بۆ ڕفاندن,,چاوگ,چاوگ,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4179,13638,دابڕسکین,دابڕسکان,,چاوگ,چاوگ,,,,HIGH,,fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4180,13639,بابەلێ,باوکە چکۆلە، بۆ خۆشەویستی دەربڕین,سیفەت,ناو,ناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision ; پۆل says «هاوەڵناو», جۆری وشە says «ناو» — they disagree",ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4181,13640,بابینی,هەڵامەت، پەسیو,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4183,13641,بابێنی,کەلەپووری باوکی مردوو,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4184,13641,بابێنی,میراتی باب,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4185,13642,باپشکێو,چینچکە سڵاو، قینچکە سڵاو,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4186,13643,باپوسکە,بابوسکە، کڕێوەی بەفر بە باوە,دۆخی کەشوھەوا,ناو,ناو,,,,HIGH,پۆل «دۆخی کەشوھەوا» has no home among the deck's ten (see unmapped.csv),ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4187,13644,باپوک,کڕێوە و تۆفی بەفر کە با ئەیهێنێ,دۆخی کەشوھەوا,ناو,ناو,,,,HIGH,پۆل «دۆخی کەشوھەوا» has no home among the deck's ten (see unmapped.csv),ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4189,13645,بابەر,دەرد لە سەرماوە,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4190,13645,بابەر,سەرمابوون,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4192,13646,باپەسیو,ئەنوایەک کە با نەیگرێتەوە,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4193,13646,باپەسیو,پەنا با، با پەنا,شوێن,ناو,ناو,ناو › شوێن,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4195,13647,باپێچ,ژان لە سک وەستان,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4196,13647,باپێچ,شوێنێک کە زۆر باگر بێت,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4197,13647,باپێچ,دل پیچە، بادگیر,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4198,13648,باپێچک,شەتەکدان، توند بەستن,ئەنجامدانی کارێک,ناو,ناو,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «ناو» — they disagree",ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4199,13648,باپێچک,گوریسپێچ,ئەنجامدانی کارێک,ناو,ناو,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «ناو» — they disagree",ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4200,13649,باپێدان,بادان، گشتکردنی بەن و شتیتر,ئەنجامدانی کارێک,ناو,ناو,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «ناو» — they disagree",ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4201,13650,باپیر,بابە گەورە، باپیرە,کەس,ناو,ناو,ناو › کەس,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4202,13651,باپیری,جۆرێک لە هەنجیر,میوە,ناو,ناو,,,,HIGH,پۆل «میوە» has no home among the deck's ten (see unmapped.csv),ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4203,13652,باپیش,دەردی چاوهێشە,نەخۆشی,ناو,ناو,زانستیی پزیشکی › نەخۆشی,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4204,13653,باپێشک,بای پێش باران,دۆخی کەشوھەوا,ناو,ناو,,,,HIGH,پۆل «دۆخی کەشوھەوا» has no home among the deck's ten (see unmapped.csv),ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4205,13654,باپیڤ,قسە زلی هیچ کارە,کەس,ئاوەڵناو,هاوەڵناو,ناو › کەس,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4206,13654,باپیڤ,خۆهەڵکێشی بێ هونەر,کەس,ئاوەڵناو,هاوەڵناو,ناو › کەس,,,HIGH,,ebadd113-3f1e-45e8-8dab-cfe024e7156d,barzihiwa,,,,,
4208,13655,ترش,چێژەی دم کۆ رە کەر,خواردن | ڕووەك | سیفەت,ناو | ئاوەڵناو,,کولتووری › خواردن | ڕووەکناسی › ڕووەك,,,LOW,"word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one ; پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4209,13655,ترش,بەرانبەری شیرین,خواردن | ڕووەك | سیفەت,ناو | ئاوەڵناو,,کولتووری › خواردن | ڕووەکناسی › ڕووەك,,,LOW,"word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one ; پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4210,13655,ترش,سماق,خواردن | ڕووەك | سیفەت,ناو | ئاوەڵناو,,کولتووری › خواردن | ڕووەکناسی › ڕووەك,,,LOW,"word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one ; پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4211,13655,ترش,برێتی لە گرژی دم و چاو,خواردن | ڕووەك | سیفەت,ناو | ئاوەڵناو,,کولتووری › خواردن | ڕووەکناسی › ڕووەك,,,LOW,"word carries several parts of speech (ناو / هاوەڵناو); a sense may only have one ; پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4214,13656,ترشاو,شتێ بە مانەوە ترش هەڵگەڕابێ,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4215,13656,ترشاو,ئاوی چێژە ترش,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4217,13657,دابڕکردن,جیاکردنەوەی کەم لە زۆر,ئەنجامدانی کارێک,چاوگ,چاوگ,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «چاوگ» — they disagree",fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4218,13657,دابڕکردن,بەزۆر گرتن و بردن,ئەنجامدانی کارێک,چاوگ,چاوگ,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «چاوگ» — they disagree",fbaa1310-1a57-4439-b4e4-2b6fb312b455,banazhamad,,,,,
4220,13658,ترشاندن,ترش هەڵگێڕان,ئەنجامدانی کارێک,چاوگ,چاوگ,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «چاوگ» — they disagree",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4221,13659,ترشانن,ترشاندن,ئەنجامدانی کارێک,چاوگ,چاوگ,,,,LOW,"پۆل «ئەنجامدانی کارێک» is really the part of speech «کار» — routed nowhere, needs a decision ; پۆل says «کار», جۆری وشە says «چاوگ» — they disagree",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4222,13660,ترشتە,تەشوێ بە ننا,کەرەستە,ناو,ناو,کولتووری › کەرەستە,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4223,13661,ترشک,خۆ رشت,خواردن,ناو,ناو,کولتووری › خواردن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4224,13661,ترشک,مەرەگە,خواردن,ناو,ناو,کولتووری › خواردن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4225,13661,ترشک,کفتەی ساوار و سڵق و سماق,خواردن,ناو,ناو,کولتووری › خواردن,,,HIGH,,96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
4227,13662,ترش و تاڵ,برێتی لە پیاوی ڕوو گرژ و ڕەزا گران,سیفەت,ئاوەڵناو,هاوەڵناو,,,,LOW,"پۆل «سیفەت» is really the part of speech «هاوەڵناو» — routed nowhere, needs a decision",96560cf4-030d-4268-baea-87bb57cdf631,somaali,,,,,
